timestamp,latitude,longitude
1647683223,-11.6922,-50.0122
1647683283,-6.0029,-50.8641
1647683343,-0.1828,-51.4011
1647683403,5.7876,-51.6187
1647683463,11.7726,-51.5055
1647683523,17.6818,-51.0644
1647683583,23.3867,-50.3143
1647683643,28.9165,-49.2604
1647683703,34.1764,-47.9300
1647683763,39.1330,-46.3503
1647683823,43.7405,-44.5633
1647683883,48.0782,-42.5656
1647683943,52.1193,-40.3961
1647684003,55.8848,-38.0769
1647684063,59.3700,-35.6490
1647684123,62.6543,-33.0926
1647684183,65.7355,-30.4415
1647684243,68.6378,-27.7098
1647684303,71.3844,-24.9096
1647684363,73.9753,-22.0758
1647684423,76.4737,-19.1707
1647684483,78.8762,-16.2258
1647684543,81.2001,-13.2485
1647684603,83.4453,-10.2678
1647684663,85.6598,-7.2459
1647684723,87.8416,-4.2107
1647684783,90.0044,-1.1681
1647684843,92.1444,1.8519
1647684903,94.3117,4.8953
1647684963,96.5011,7.9300
1647685023,98.7262,10.9493
1647685083,100.9832,13.9237
1647685143,103.3253,16.8964
1647685203,105.7504,19.8356
1647685263,108.2757,22.7332
1647685323,110.8980,25.5573
1647685383,113.6814,28.3454
1647685443,116.6265,31.0627
1647685503,119.7573,33.6968
1647685563,123.0977,36.2325
1647685623,126.6428,38.6340
1647685683,130.4767,40.9228
1647685743,134.5941,43.0574
1647685803,139.0145,45.0145
1647685863,143.7055,46.7537
1647685923,148.7462,48.2779
1647685983,154.0857,49.5454
1647686043,159.6869,50.5296
1647686103,165.4978,51.2088
1647686163,171.3967,51.5650
1647686223,177.3981,51.5949
1647686283,-176.6372,51.2933
1647686343,-170.7973,50.6681
1647686403,-165.2020,49.7437
1647686463,-159.8137,48.5257
1647686523,-154.7178,47.0458
1647686583,-149.9336,45.3311
1647686643,-145.4986,43.4251
1647686703,-141.3194,41.3163
1647686763,-137.4368,39.0536
1647686823,-133.8191,36.6544
1647686883,-130.4683,34.1589
1647686943,-127.3030,31.5424
1647687003,-124.3271,28.8398
1647687063,-121.5173,26.0645
1647687123,-118.8725,23.2512
1647687183,-116.3281,20.3630
1647687243,-113.8876,17.4324
1647687303,-111.5311,14.4643
1647687363,-109.2628,11.4935
1647687423,-107.0306,8.4786
1647687483,-104.8374,5.4484
1647687543,-102.6691,2.4088
1647687603,-100.5295,-0.6099
1647687663,-98.3690,-3.6530
1647687723,-96.1927,-6.6888
1647687783,-93.9864,-9.7121
1647687843,-91.7352,-12.7177
1647687903,-89.4436,-15.6747
1647687963,-87.0575,-18.6257
1647688023,-84.5794,-21.5376
1647688083,-81.9905,-24.4031
1647688143,-79.2943,-27.1898
1647688203,-76.4233,-29.9349
1647688263,-73.3787,-32.6012
